2025-10-04 22:28:24 | Monitor | 2 sinais detectados
2025-10-04 22:28:59 | Monitor | 2 sinais detectados
2025-10-04 22:29:33 | Monitor | 1 sinais detectados
2025-10-04 22:30:41 | Monitor | 1 sinais detectados
2025-10-04 22:31:15 | Monitor | 2 sinais detectados
2025-10-04 22:32:23 | Monitor | 4 sinais detectados
2025-10-04 22:32:57 | Monitor | 2 sinais detectados
2025-10-04 22:33:31 | Monitor | 2 sinais detectados
2025-10-04 22:34:05 | Monitor | 1 sinais detectados
2025-10-04 22:34:39 | Monitor | 2 sinais detectados
2025-10-04 22:35:13 | Monitor | 3 sinais detectados
2025-10-04 22:35:47 | Monitor | 3 sinais detectados
2025-10-04 22:36:55 | Monitor | 2 sinais detectados
2025-10-04 22:37:29 | Monitor | 2 sinais detectados
2025-10-04 22:38:04 | Monitor | 4 sinais detectados
2025-10-04 22:38:38 | Monitor | 4 sinais detectados
2025-10-04 22:39:12 | Monitor | 3 sinais detectados
2025-10-04 22:39:46 | Monitor | 1 sinais detectados
2025-10-04 22:40:20 | Monitor | 1 sinais detectados
2025-10-04 22:40:54 | Monitor | 3 sinais detectados
2025-10-04 22:41:28 | Monitor | 2 sinais detectados
2025-10-04 22:42:02 | Monitor | 2 sinais detectados
2025-10-04 22:42:36 | Monitor | 3 sinais detectados
2025-10-04 22:43:10 | Monitor | 3 sinais detectados
2025-10-04 22:43:44 | Monitor | 2 sinais detectados
2025-10-04 22:44:18 | Monitor | 2 sinais detectados
2025-10-04 22:44:52 | Monitor | 5 sinais detectados
2025-10-04 22:45:26 | Monitor | 3 sinais detectados
2025-10-04 22:46:00 | Monitor | 2 sinais detectados
2025-10-04 22:46:34 | Monitor | 3 sinais detectados
2025-10-04 22:47:09 | Monitor | 4 sinais detectados
2025-10-04 22:47:43 | Monitor | 1 sinais detectados
2025-10-04 22:48:17 | Monitor | 4 sinais detectados
2025-10-04 22:48:51 | Monitor | 3 sinais detectados
2025-10-04 22:49:25 | Monitor | 3 sinais detectados
2025-10-04 22:49:59 | Monitor | 1 sinais detectados
2025-10-04 22:51:07 | Monitor | 4 sinais detectados
2025-10-04 22:51:41 | Monitor | 1 sinais detectados
2025-10-04 22:52:15 | Monitor | 6 sinais detectados
2025-10-04 22:52:49 | Monitor | 1 sinais detectados
2025-10-04 22:53:57 | Monitor | 5 sinais detectados
2025-10-04 22:54:31 | Monitor | 2 sinais detectados
2025-10-04 22:55:06 | Monitor | 3 sinais detectados
2025-10-04 22:55:40 | Monitor | 2 sinais detectados
2025-10-04 22:56:14 | Monitor | 1 sinais detectados
2025-10-04 22:56:48 | Monitor | 1 sinais detectados
2025-10-04 22:57:22 | Monitor | 2 sinais detectados
2025-10-04 22:57:56 | Monitor | 2 sinais detectados
2025-10-04 22:58:30 | Monitor | 4 sinais detectados
2025-10-04 22:59:04 | Monitor | 2 sinais detectados
2025-10-04 22:59:38 | Monitor | 4 sinais detectados
2025-10-04 23:00:12 | Monitor | 4 sinais detectados
2025-10-04 23:00:46 | Monitor | 1 sinais detectados
2025-10-04 23:01:20 | Monitor | 3 sinais detectados
2025-10-04 23:01:54 | Monitor | 4 sinais detectados
2025-10-04 23:02:28 | Monitor | 2 sinais detectados
2025-10-04 23:03:02 | Monitor | 2 sinais detectados
2025-10-04 23:03:36 | Monitor | 2 sinais detectados
2025-10-04 23:04:10 | Monitor | 4 sinais detectados
2025-10-04 23:05:19 | Monitor | 2 sinais detectados
2025-10-04 23:05:53 | Monitor | 1 sinais detectados
2025-10-04 23:06:27 | Monitor | 2 sinais detectados
2025-10-04 23:07:01 | Monitor | 5 sinais detectados
2025-10-04 23:07:35 | Monitor | 2 sinais detectados
2025-10-04 23:08:09 | Monitor | 2 sinais detectados
2025-10-04 23:08:43 | Monitor | 2 sinais detectados
2025-10-04 23:09:17 | Monitor | 4 sinais detectados
2025-10-04 23:09:51 | Monitor | 2 sinais detectados
2025-10-04 23:10:26 | Monitor | 3 sinais detectados
2025-10-04 23:11:00 | Monitor | 2 sinais detectados
2025-10-04 23:11:34 | Monitor | 2 sinais detectados
2025-10-04 23:12:08 | Monitor | 2 sinais detectados
2025-10-04 23:12:42 | Monitor | 1 sinais detectados
2025-10-04 23:13:16 | Monitor | 2 sinais detectados
2025-10-04 23:13:50 | Monitor | 3 sinais detectados
2025-10-04 23:14:58 | Monitor | 1 sinais detectados
2025-10-04 23:15:32 | Monitor | 3 sinais detectados
2025-10-04 23:16:07 | Monitor | 3 sinais detectados
2025-10-04 23:16:41 | Monitor | 2 sinais detectados
2025-10-04 23:17:15 | Monitor | 3 sinais detectados
2025-10-04 23:17:49 | Monitor | 1 sinais detectados
2025-10-04 23:18:23 | Monitor | 2 sinais detectados
2025-10-04 23:19:31 | Monitor | 3 sinais detectados
2025-10-04 23:20:05 | Monitor | 1 sinais detectados
2025-10-04 23:21:13 | Monitor | 3 sinais detectados
2025-10-04 23:21:47 | Monitor | 5 sinais detectados
2025-10-04 23:22:21 | Monitor | 1 sinais detectados
2025-10-04 23:22:55 | Monitor | 1 sinais detectados
